transaction_id,date,time,day_of_week,fraud_type,fraud_lure,amount_inr,upi_app,transaction_type,sender_upi_id
TXN896459529963,2024-12-09,09:37:47,Monday,Phishing,Refund Processing,2700,Google Pay,Collect Request,pay4454@ibl
TXN802361556810,2023-05-24,09:25:30,Wednesday,Vishing,Job Offer/Part-time Work,22350,PhonePe,P2P,txn8074@ybl
TXN895511335697,2023-07-10,10:37:25,Monday,QR Code Swap,Prize/Lottery Win,7000,PhonePe,P2M,txn5127@oksbi
TXN800404859161,2023-05-29,22:42:57,Monday,Fake UPI App,Delivery Agent Scam,91800,Google Pay,P2P,acct5528@axl
TXN134803353165,2023-06-15,10:03:24,Thursday,Vishing,Electricity Bill Disconnection,235400,PhonePe,Collect Request,user2153@ybl
TXN235214445347,2023-08-31,16:00:59,Thursday,Phishing,Job Offer/Part-time Work,2600,Google Pay,Collect Request,mb9770@ibl
TXN309316623535,2023-05-27,16:41:05,Saturday,Vishing,KYC Update Required,36150,Google Pay,P2P,pay1584@oksbi
TXN138964087093,2024-05-03,06:34:41,Friday,Vishing,Customer Care Impersonation,8700,PhonePe,P2M,pay9010@okaxis
TXN855810534663,2025-03-19,16:00:11,Wednesday,OTP Sharing,Job Offer/Part-time Work,28200,Google Pay,P2P,mb9943@okicici
TXN751339331489,2024-11-28,09:04:07,Thursday,Vishing,KYC Update Required,12750,Paytm,P2P,txn7819@paytm
TXN656368873070,2025-01-15,10:28:26,Wednesday,Vishing,Delivery Agent Scam,1900,BHIM,P2M,pay8605@oksbi
TXN632700778895,2023-07-25,19:43:54,Tuesday,Remote Access Scam,Prize/Lottery Win,6450,PhonePe,P2P,mb2901@okhdfcbank
TXN792323623688,2024-06-03,09:43:57,Monday,Vishing,KYC Update Required,15350,PhonePe,Collect Request,txn5418@oksbi
TXN622231863307,2025-03-09,15:17:08,Sunday,Phishing,Electricity Bill Disconnection,3700,Google Pay,P2M,acct5573@okaxis
TXN906135983187,2024-03-01,13:14:57,Friday,Social Engineering,Job Offer/Part-time Work,87600,Amazon Pay,P2M,acct4571@okicici
TXN681250405931,2025-01-23,23:01:30,Thursday,OTP Sharing,Investment Scheme,1450,PhonePe,P2M,user5859@axl
TXN626773608807,2025-03-02,07:56:21,Sunday,SIM Swap,Refund Processing,1900,PhonePe,P2P,mb4437@oksbi
TXN186274334156,2024-08-28,17:17:03,Wednesday,Phishing,Investment Scheme,4000,Google Pay,Collect Request,acct3929@ybl
TXN476147672122,2024-01-08,08:09:31,Monday,Phishing,Customer Care Impersonation,1800,Paytm,P2M,txn8965@apl
TXN276752871335,2024-02-06,15:57:50,Tuesday,Vishing,Customer Care Impersonation,13700,PhonePe,P2P,pay2915@okaxis
TXN875874004889,2023-12-23,12:13:35,Saturday,OTP Sharing,KYC Update Required,7800,Google Pay,P2P,txn8764@ybl
TXN837347372732,2024-03-12,17:46:30,Tuesday,Social Engineering,Refund Processing,1650,PhonePe,P2P,user9385@axl
TXN900684262475,2024-12-08,16:03:58,Sunday,OTP Sharing,Digital Arrest Threat,4950,PhonePe,P2P,acct3286@okhdfcbank
TXN433225932101,2024-07-30,23:33:21,Tuesday,Phishing,Customer Care Impersonation,99550,PhonePe,P2P,acct8593@oksbi
TXN508535501147,2023-12-25,11:40:53,Monday,OTP Sharing,KYC Update Required,1850,Google Pay,P2P,mb1287@ybl
TXN979115239884,2024-02-22,13:44:08,Thursday,Vishing,Impersonation of Known Person,1250,PhonePe,P2M,txn5447@ibl
TXN185538702509,2023-08-26,01:33:18,Saturday,Vishing,Delivery Agent Scam,7800,Google Pay,Collect Request,user3150@okaxis
TXN931008547062,2025-03-08,12:52:28,Saturday,Social Engineering,Loan Offer,7800,PhonePe,P2P,acct1696@oksbi
TXN902217436696,2024-11-28,06:07:58,Thursday,Vishing,Prize/Lottery Win,1850,Google Pay,P2M,mb4962@apl
TXN663561015610,2024-11-13,18:33:13,Wednesday,OTP Sharing,Job Offer/Part-time Work,61250,PhonePe,P2P,pay7677@okhdfcbank
TXN506643771715,2023-07-22,14:31:48,Saturday,Vishing,Refund Processing,4950,PhonePe,P2M,pay1209@paytm
TXN398902450645,2024-09-17,16:05:07,Tuesday,Phishing,Prize/Lottery Win,4400,PhonePe,P2P,acct6834@paytm
TXN944046753592,2024-09-05,10:49:29,Thursday,Phishing,Job Offer/Part-time Work,4050,Google Pay,Collect Request,acct8635@oksbi
TXN887321019258,2024-08-29,10:21:51,Thursday,Fake UPI App,Customer Care Impersonation,5250,PhonePe,Collect Request,acct8986@okhdfcbank
TXN791023055912,2025-03-02,14:30:30,Sunday,Fake Collect Request,Digital Arrest Threat,600,Google Pay,P2P,txn7235@okhdfcbank
TXN513676279109,2024-05-26,11:42:15,Sunday,Vishing,Job Offer/Part-time Work,9850,PhonePe,P2P,mb7394@ibl
TXN783869972943,2023-07-12,17:13:21,Wednesday,QR Code Swap,Investment Scheme,20950,PhonePe,P2M,user2552@ibl
TXN394064794239,2024-07-30,13:22:50,Tuesday,Phishing,Electricity Bill Disconnection,18250,PhonePe,P2P,mb8106@okaxis
TXN608139902526,2024-07-17,09:09:47,Wednesday,OTP Sharing,Refund Processing,3800,Google Pay,Collect Request,acct8145@axl
TXN898175908261,2024-01-05,08:16:50,Friday,SIM Swap,Investment Scheme,6450,Google Pay,P2P,pay4867@okhdfcbank
TXN162661343522,2024-09-16,17:37:49,Monday,Social Engineering,Customer Care Impersonation,2350,PhonePe,P2M,acct9740@ibl
TXN498146117496,2024-06-07,13:15:17,Friday,Fake UPI App,KYC Update Required,73800,Google Pay,Collect Request,user9763@oksbi
TXN468684989749,2024-05-07,21:58:16,Tuesday,Vishing,Investment Scheme,99600,Paytm,P2M,acct2644@okicici
TXN816532062801,2024-03-26,13:46:52,Tuesday,Fake Collect Request,KYC Update Required,4850,Google Pay,P2M,pay7722@ibl
TXN152264408884,2023-12-23,09:37:52,Saturday,Vishing,Prize/Lottery Win,2350,Paytm,Collect Request,acct8027@ybl
TXN560374809291,2023-09-22,22:07:00,Friday,OTP Sharing,Delivery Agent Scam,3850,PhonePe,Collect Request,pay7693@okicici
TXN760575627385,2023-11-28,16:58:15,Tuesday,Vishing,Prize/Lottery Win,8750,BHIM,P2P,user1087@ybl
TXN411084850715,2024-05-09,17:08:57,Thursday,Fake Collect Request,Loan Offer,7150,PhonePe,P2P,txn5321@apl
TXN222376453993,2024-02-18,18:31:48,Sunday,Remote Access Scam,Loan Offer,8600,PhonePe,P2P,pay3025@ibl
TXN750144482408,2023-10-02,20:47:32,Monday,Fake UPI App,Impersonation of Known Person,9800,Google Pay,P2P,user6300@okicici
TXN180504007993,2025-03-25,16:29:40,Tuesday,Remote Access Scam,Digital Arrest Threat,5050,PhonePe,Collect Request,mb7248@okhdfcbank
TXN637729352538,2023-12-02,22:55:25,Saturday,Phishing,Refund Processing,30350,BHIM,P2P,acct7358@paytm
TXN241666001158,2024-06-06,19:39:11,Thursday,QR Code Swap,Impersonation of Known Person,2150,Google Pay,P2M,txn5073@apl
TXN745593483734,2024-10-16,07:02:32,Wednesday,Phishing,Delivery Agent Scam,2400,PhonePe,P2M,acct8371@ybl
TXN860050905807,2023-10-07,07:38:16,Saturday,Fake UPI App,Customer Care Impersonation,1600,Google Pay,P2M,acct5958@okhdfcbank
TXN617479335825,2023-10-13,08:01:44,Friday,Remote Access Scam,Job Offer/Part-time Work,31850,Google Pay,Collect Request,user8364@oksbi
TXN119448938243,2023-05-23,11:06:40,Tuesday,Fake UPI App,Customer Care Impersonation,3700,Google Pay,P2P,acct6174@apl
TXN842776785203,2024-07-28,08:39:41,Sunday,Vishing,Job Offer/Part-time Work,10350,PhonePe,P2M,txn8738@okicici
TXN573896962291,2025-03-08,18:42:30,Saturday,Phishing,Job Offer/Part-time Work,1750,PhonePe,P2P,user4714@okhdfcbank
TXN215738130825,2023-12-21,23:50:22,Thursday,SIM Swap,Loan Offer,19150,Google Pay,P2M,mb1687@apl
TXN509164421558,2023-10-28,21:10:46,Saturday,Vishing,KYC Update Required,4050,PhonePe,Collect Request,acct6908@oksbi
TXN265963831708,2023-11-20,08:27:26,Monday,Social Engineering,Delivery Agent Scam,41900,PhonePe,P2P,mb1947@apl
TXN191489380787,2025-02-26,17:55:19,Wednesday,OTP Sharing,Customer Care Impersonation,3400,Paytm,P2M,user9805@ibl
TXN816213971338,2024-10-05,10:05:32,Saturday,Fake Collect Request,Refund Processing,6300,PhonePe,Collect Request,user8352@ybl
TXN209325427254,2024-03-13,23:51:47,Wednesday,Money Mule,Job Offer/Part-time Work,9350,Google Pay,Collect Request,pay7974@axl
TXN883766095125,2024-06-09,21:30:13,Sunday,QR Code Swap,Electricity Bill Disconnection,4150,Paytm,P2M,acct3119@apl
TXN438848236181,2024-07-10,13:47:10,Wednesday,Remote Access Scam,Prize/Lottery Win,2500,Google Pay,P2P,txn4532@okicici
TXN832827808870,2024-10-12,11:55:02,Saturday,QR Code Swap,KYC Update Required,9650,Google Pay,Collect Request,mb7711@axl
TXN925447169891,2024-10-05,06:42:56,Saturday,QR Code Swap,Job Offer/Part-time Work,2350,Google Pay,P2M,acct9235@okaxis
TXN693132121536,2023-04-20,10:13:15,Thursday,Fake UPI App,Investment Scheme,19500,PhonePe,P2P,pay5675@okicici
TXN523073267793,2023-09-05,11:26:43,Tuesday,Phishing,Investment Scheme,7650,PhonePe,P2P,user5412@okaxis
TXN369646738416,2024-05-21,06:01:26,Tuesday,OTP Sharing,Delivery Agent Scam,25600,PhonePe,P2M,mb7942@apl
TXN895168743089,2024-07-19,22:39:18,Friday,OTP Sharing,Refund Processing,600,Google Pay,P2P,mb5578@axl
TXN868349326215,2025-02-27,22:40:16,Thursday,Remote Access Scam,KYC Update Required,14450,PhonePe,P2M,acct7435@apl
TXN311990227098,2023-05-02,21:52:42,Tuesday,QR Code Swap,KYC Update Required,1250,Google Pay,P2M,user5967@oksbi
TXN726779882179,2023-05-08,10:57:45,Monday,OTP Sharing,Prize/Lottery Win,900,PhonePe,P2M,pay9570@ybl
TXN563505962111,2024-12-20,10:35:56,Friday,QR Code Swap,Customer Care Impersonation,92000,PhonePe,Collect Request,mb8354@ibl
TXN672663401870,2024-03-08,07:36:51,Friday,Phishing,Electricity Bill Disconnection,21300,PhonePe,P2P,pay2194@paytm
TXN965863585178,2023-06-27,22:58:02,Tuesday,Vishing,Electricity Bill Disconnection,47700,PhonePe,P2P,mb1173@paytm
TXN976764628140,2024-12-26,16:21:41,Thursday,Social Engineering,Electricity Bill Disconnection,17450,PhonePe,P2M,user1991@okicici
TXN964152836923,2025-01-27,18:19:37,Monday,Social Engineering,Electricity Bill Disconnection,12400,BHIM,P2M,user6595@oksbi
TXN108546461143,2024-11-13,15:21:39,Wednesday,Vishing,Prize/Lottery Win,2450,PhonePe,P2P,txn1162@okhdfcbank
TXN818886999284,2023-07-27,08:28:12,Thursday,OTP Sharing,Loan Offer,36800,PhonePe,Collect Request,user6544@oksbi
TXN746890914545,2024-04-13,19:42:10,Saturday,Remote Access Scam,Delivery Agent Scam,90850,PhonePe,Collect Request,pay9773@ybl
TXN631263873744,2023-05-25,16:17:55,Thursday,Phishing,KYC Update Required,9800,PhonePe,P2M,acct8762@ybl
TXN613038787887,2023-10-30,10:12:28,Monday,Fake UPI App,KYC Update Required,3250,Google Pay,P2P,acct7700@ibl
TXN404278883252,2024-04-26,03:28:14,Friday,Vishing,Prize/Lottery Win,650,PhonePe,P2P,pay3258@apl
TXN475643857543,2024-01-14,19:50:25,Sunday,Remote Access Scam,Customer Care Impersonation,22400,Google Pay,P2P,user6129@oksbi
TXN268101303699,2024-06-23,13:35:01,Sunday,Vishing,Prize/Lottery Win,6050,Google Pay,P2P,txn7404@axl
TXN503973685368,2024-09-29,12:30:06,Sunday,Vishing,Loan Offer,91900,Google Pay,P2P,mb1180@okicici
TXN590239129169,2023-09-08,23:08:34,Friday,QR Code Swap,Loan Offer,16350,PhonePe,P2P,user7541@oksbi
TXN362180542522,2024-07-15,13:02:47,Monday,Phishing,Investment Scheme,8750,PhonePe,Collect Request,pay5485@apl
TXN225630395011,2024-08-18,12:48:35,Sunday,Phishing,KYC Update Required,2450,PhonePe,P2P,pay6359@paytm
TXN687014844720,2023-06-24,15:15:45,Saturday,Remote Access Scam,Job Offer/Part-time Work,1050,PhonePe,P2P,pay8242@okaxis
TXN283498232147,2025-03-07,11:03:38,Friday,Phishing,KYC Update Required,22550,PhonePe,P2P,user7810@apl
TXN943108669731,2024-10-27,16:39:13,Sunday,Social Engineering,Refund Processing,3750,PhonePe,P2P,mb9185@okhdfcbank
TXN353460157792,2023-07-07,15:40:44,Friday,Vishing,Electricity Bill Disconnection,47750,Google Pay,Collect Request,user3032@ybl
TXN925872626056,2024-12-25,07:08:23,Wednesday,QR Code Swap,Loan Offer,1250,Google Pay,Collect Request,user4752@ibl
TXN703840750689,2024-10-04,06:58:42,Friday,Money Mule,KYC Update Required,21400,PhonePe,P2P,pay4871@apl
TXN631689285641,2024-02-13,09:12:15,Tuesday,QR Code Swap,KYC Update Required,7500,PhonePe,P2M,user7249@axl
TXN522509440142,2023-09-04,15:11:16,Monday,Vishing,Prize/Lottery Win,3150,PhonePe,P2M,acct6043@okhdfcbank
TXN833140057272,2024-04-29,21:10:12,Monday,SIM Swap,Electricity Bill Disconnection,99250,Google Pay,P2M,pay5281@paytm
TXN904481643507,2024-12-07,15:42:53,Saturday,Phishing,Job Offer/Part-time Work,700,Google Pay,Collect Request,acct2456@okhdfcbank
TXN335425928472,2024-01-01,18:59:47,Monday,Vishing,Electricity Bill Disconnection,2700,Google Pay,P2M,pay4292@okaxis
TXN969826803572,2024-05-23,13:58:39,Thursday,Phishing,Customer Care Impersonation,5650,PhonePe,P2M,user7154@apl
TXN683552934230,2024-03-11,16:21:23,Monday,OTP Sharing,Refund Processing,3300,PhonePe,P2P,txn5072@ibl
TXN903590338399,2024-05-28,16:00:40,Tuesday,Remote Access Scam,Prize/Lottery Win,10250,Google Pay,P2M,acct5814@oksbi
TXN943460666223,2023-05-03,08:50:05,Wednesday,Vishing,Job Offer/Part-time Work,9500,BHIM,P2M,txn4610@ybl
TXN418324464518,2024-09-29,16:31:05,Sunday,SIM Swap,Loan Offer,2900,Google Pay,P2P,user2824@okhdfcbank
TXN606172040665,2024-11-07,12:54:20,Thursday,Remote Access Scam,Delivery Agent Scam,5001,PhonePe,P2P,txn3370@ybl
TXN330711754554,2023-08-29,16:09:47,Tuesday,OTP Sharing,Investment Scheme,21500,Google Pay,P2P,pay1861@okicici
TXN881403051485,2025-02-04,21:10:01,Tuesday,Fake Collect Request,Refund Processing,4800,PhonePe,P2M,txn8496@okicici
TXN229074384926,2025-03-13,14:57:09,Thursday,Phishing,Digital Arrest Threat,13200,Google Pay,P2M,mb6545@axl
TXN347002489010,2023-05-05,08:25:31,Friday,Vishing,Delivery Agent Scam,6400,Google Pay,P2M,user8856@ybl
TXN925166680433,2024-08-08,23:44:27,Thursday,Vishing,KYC Update Required,1150,PhonePe,Collect Request,pay2922@okicici
TXN822814635507,2024-10-20,13:20:07,Sunday,Phishing,Refund Processing,6300,PhonePe,P2P,mb8289@okicici
TXN517731415907,2024-09-17,21:22:38,Tuesday,Fake Collect Request,Prize/Lottery Win,700,PhonePe,Collect Request,pay7554@paytm
TXN684650796321,2025-03-12,08:13:04,Wednesday,Fake Collect Request,Electricity Bill Disconnection,4600,Google Pay,Collect Request,user9984@axl
TXN398721599284,2024-04-06,21:49:17,Saturday,Phishing,Impersonation of Known Person,14500,PhonePe,P2P,mb2623@okaxis
TXN373922397667,2023-10-03,11:47:43,Tuesday,Remote Access Scam,Loan Offer,9850,PhonePe,P2M,mb7852@paytm
TXN645158433677,2024-07-23,14:17:27,Tuesday,Fake Collect Request,Investment Scheme,23350,PhonePe,P2M,user7946@apl
TXN592234921273,2024-09-09,17:43:56,Monday,Fake Collect Request,Loan Offer,550,Google Pay,P2M,pay9577@oksbi
TXN808494089748,2023-08-15,14:03:27,Tuesday,QR Code Swap,Refund Processing,750,Paytm,Collect Request,mb1580@paytm
TXN500717377609,2024-03-30,00:29:21,Saturday,Vishing,KYC Update Required,1200,PhonePe,P2M,acct3984@apl
TXN978301774979,2025-02-01,20:10:08,Saturday,Vishing,Customer Care Impersonation,3450,PhonePe,P2P,pay6322@axl
TXN227847121583,2023-07-22,22:50:01,Saturday,Phishing,Loan Offer,2050,PhonePe,Collect Request,txn5052@axl
TXN569595308145,2025-03-18,18:39:11,Tuesday,Phishing,Impersonation of Known Person,45600,PhonePe,Collect Request,acct2005@apl
TXN461336921845,2023-07-22,10:17:22,Saturday,OTP Sharing,Refund Processing,2200,PhonePe,P2P,txn6920@apl
TXN270599405826,2025-01-25,10:37:24,Saturday,Phishing,Prize/Lottery Win,1800,Paytm,P2M,user3094@oksbi
TXN280710686831,2024-03-21,21:28:40,Thursday,OTP Sharing,Refund Processing,27200,Google Pay,P2P,acct9344@axl
TXN396923851219,2024-12-12,10:11:00,Thursday,Phishing,Prize/Lottery Win,1950,Google Pay,P2M,user5079@oksbi
TXN958731538802,2025-01-24,11:38:23,Friday,Vishing,Electricity Bill Disconnection,86000,PhonePe,Collect Request,mb2743@axl
TXN439392813872,2023-11-12,11:13:37,Sunday,Fake Collect Request,KYC Update Required,37950,PhonePe,Collect Request,pay3911@axl
TXN115460323983,2023-08-25,07:15:29,Friday,Social Engineering,Customer Care Impersonation,56550,PhonePe,P2P,user2742@apl
TXN569124997593,2023-08-21,13:36:57,Monday,QR Code Swap,KYC Update Required,1200,PhonePe,P2M,acct3414@ibl
TXN833980350992,2025-03-04,20:52:57,Tuesday,Phishing,Refund Processing,700,PhonePe,P2P,txn5702@ibl
TXN241711465331,2025-02-06,12:16:51,Thursday,Social Engineering,Customer Care Impersonation,22900,Google Pay,P2P,pay7308@ibl
TXN358072774592,2024-08-05,17:26:38,Monday,SIM Swap,Job Offer/Part-time Work,4700,Google Pay,P2M,txn1046@oksbi
TXN157430946470,2024-07-29,22:58:07,Monday,Phishing,Prize/Lottery Win,2550,BHIM,Collect Request,user2208@paytm
TXN292204652392,2023-08-29,12:05:15,Tuesday,Phishing,Refund Processing,8400,Google Pay,P2M,mb3627@okaxis
TXN863716304869,2024-10-19,17:16:58,Saturday,Fake Collect Request,KYC Update Required,2950,Google Pay,Collect Request,acct8821@ibl
TXN720923949300,2023-05-26,19:41:27,Friday,Phishing,KYC Update Required,650,PhonePe,P2P,user8926@okaxis
TXN417988247295,2024-02-11,00:22:48,Sunday,Vishing,Refund Processing,2800,PhonePe,P2M,pay3482@paytm
TXN768341524069,2023-11-07,19:41:09,Tuesday,SIM Swap,Delivery Agent Scam,1550,Paytm,P2P,user3496@paytm
TXN635018636281,2024-02-11,15:51:50,Sunday,Social Engineering,KYC Update Required,8750,PhonePe,P2P,user6955@ybl
TXN540535369915,2024-06-25,12:54:39,Tuesday,Remote Access Scam,Digital Arrest Threat,4800,Amazon Pay,P2P,user4654@axl
TXN260932285204,2024-07-21,13:34:57,Sunday,Fake UPI App,Refund Processing,850,Google Pay,P2P,pay6245@okaxis
TXN572023957025,2024-04-05,19:30:13,Friday,Phishing,Customer Care Impersonation,49850,PhonePe,P2P,txn5864@okicici
TXN263269689004,2024-08-06,13:44:50,Tuesday,Phishing,Prize/Lottery Win,15800,Google Pay,Collect Request,acct3416@paytm
TXN503788648868,2023-12-26,14:00:28,Tuesday,Remote Access Scam,Customer Care Impersonation,45800,PhonePe,Collect Request,txn1265@ybl
TXN781620297617,2025-03-17,14:29:26,Monday,QR Code Swap,Refund Processing,4200,Paytm,P2M,user2435@okhdfcbank
TXN875863763386,2023-07-16,14:48:39,Sunday,Social Engineering,Delivery Agent Scam,1400,Paytm,P2P,acct1124@ibl
TXN312134286195,2023-12-31,20:16:19,Sunday,Fake UPI App,Delivery Agent Scam,16800,PhonePe,P2P,mb7444@okaxis
TXN110468643670,2025-01-11,12:46:11,Saturday,QR Code Swap,Delivery Agent Scam,2650,Google Pay,P2M,mb3507@okaxis
TXN739884834330,2024-11-06,12:47:46,Wednesday,Phishing,Investment Scheme,4600,PhonePe,P2P,user2817@paytm
TXN297154624707,2023-08-24,10:57:11,Thursday,Phishing,Customer Care Impersonation,7950,Google Pay,P2P,mb1515@okhdfcbank
TXN321111680438,2024-12-19,15:00:10,Thursday,Fake Collect Request,Investment Scheme,2500,Google Pay,P2P,user6710@apl
TXN766181893737,2024-06-20,14:25:59,Thursday,Phishing,Job Offer/Part-time Work,1900,PhonePe,P2M,acct8033@oksbi
TXN446945373205,2025-01-07,19:28:10,Tuesday,Social Engineering,Refund Processing,66600,Google Pay,Collect Request,user1157@ibl
TXN644613557750,2024-07-20,15:20:57,Saturday,Vishing,Investment Scheme,1100,PhonePe,P2M,acct1766@ybl
TXN896351699925,2024-07-07,09:20:37,Sunday,Vishing,KYC Update Required,7350,PhonePe,P2M,txn5500@ibl
TXN507215650421,2024-10-21,18:31:39,Monday,Phishing,KYC Update Required,3850,Google Pay,Collect Request,mb1080@okaxis
TXN639711040614,2023-05-20,22:04:16,Saturday,Vishing,Investment Scheme,8100,PhonePe,P2P,txn6274@paytm
TXN447284436313,2024-01-29,17:22:35,Monday,Fake UPI App,KYC Update Required,4650,BHIM,P2P,txn8438@okicici
TXN682663361540,2023-11-11,21:24:28,Saturday,Fake UPI App,Electricity Bill Disconnection,8300,PhonePe,Collect Request,acct6766@ybl
TXN224377836474,2024-06-15,09:25:32,Saturday,QR Code Swap,Refund Processing,3800,Google Pay,P2P,pay2887@okaxis
TXN913796480365,2023-06-07,14:17:14,Wednesday,Social Engineering,Prize/Lottery Win,16650,Paytm,P2P,txn4909@okicici
TXN849760701556,2023-10-09,11:29:09,Monday,Remote Access Scam,Investment Scheme,8500,PhonePe,P2M,txn4740@apl
TXN803207331196,2023-07-06,08:51:47,Thursday,Vishing,Refund Processing,7850,PhonePe,P2P,user3423@axl
TXN745924539252,2024-08-22,04:36:47,Thursday,OTP Sharing,Investment Scheme,2850,Google Pay,Collect Request,acct5526@ybl
TXN336399093479,2025-03-19,11:39:07,Wednesday,QR Code Swap,Prize/Lottery Win,3400,Google Pay,P2M,txn3022@okaxis
TXN802993805730,2024-06-14,11:53:00,Friday,Phishing,Loan Offer,1100,Google Pay,Collect Request,acct7923@axl
TXN446578663878,2024-12-02,11:36:27,Monday,OTP Sharing,Refund Processing,4350,PhonePe,P2P,mb6858@paytm
TXN604736002246,2024-06-04,22:29:01,Tuesday,Social Engineering,Refund Processing,1350,Google Pay,P2M,user2387@okaxis
TXN108317338227,2024-11-29,07:18:36,Friday,QR Code Swap,Job Offer/Part-time Work,2250,Google Pay,P2M,acct4288@okhdfcbank
TXN124207282522,2024-12-09,20:33:06,Monday,Vishing,Digital Arrest Threat,550,PhonePe,P2P,pay3321@oksbi
TXN144858697395,2023-10-23,13:18:18,Monday,OTP Sharing,Delivery Agent Scam,82300,Google Pay,P2M,txn3282@paytm
TXN812274479362,2023-09-10,12:54:55,Sunday,QR Code Swap,Job Offer/Part-time Work,4900,PhonePe,P2M,acct7168@paytm
TXN292761376717,2025-02-03,14:08:44,Monday,Vishing,Prize/Lottery Win,72800,PhonePe,P2M,acct7882@okhdfcbank
TXN971056614497,2023-05-09,20:04:28,Tuesday,SIM Swap,Job Offer/Part-time Work,5250,PhonePe,Collect Request,pay2409@okaxis
TXN570036402204,2023-08-22,21:23:49,Tuesday,QR Code Swap,Prize/Lottery Win,5600,Google Pay,P2M,acct2161@okhdfcbank
TXN162786601848,2023-07-13,08:14:03,Thursday,Fake Collect Request,Investment Scheme,2900,PhonePe,P2P,mb2816@paytm
TXN914317843435,2024-03-12,13:12:21,Tuesday,Social Engineering,Prize/Lottery Win,900,Google Pay,Collect Request,mb2320@apl
TXN240425847832,2023-05-13,08:31:32,Saturday,Vishing,Delivery Agent Scam,3950,PhonePe,P2P,acct7993@apl
TXN148458380763,2023-07-30,21:57:23,Sunday,Vishing,Delivery Agent Scam,2250,PhonePe,P2M,txn6728@oksbi
TXN478189039683,2024-08-03,16:42:04,Saturday,Phishing,Loan Offer,63500,Paytm,P2P,acct8966@ybl
TXN522549998744,2024-09-15,10:47:35,Sunday,Phishing,KYC Update Required,2600,Google Pay,Collect Request,acct1727@oksbi
TXN163361078655,2025-02-04,13:03:42,Tuesday,Vishing,Refund Processing,7850,PhonePe,Collect Request,user7358@ybl
TXN820620033728,2024-11-07,17:49:33,Thursday,Vishing,Impersonation of Known Person,80650,PhonePe,P2M,mb1202@okhdfcbank
TXN291685842884,2023-10-01,13:01:28,Sunday,Phishing,Refund Processing,1250,PhonePe,Collect Request,pay1812@oksbi
TXN728464478520,2025-03-01,14:28:37,Saturday,Vishing,Investment Scheme,6850,PhonePe,P2M,txn7815@okhdfcbank
TXN481018747564,2023-04-26,11:50:23,Wednesday,Vishing,Refund Processing,4650,PhonePe,P2P,pay7206@okaxis
TXN945245294432,2023-06-19,22:14:36,Monday,QR Code Swap,Electricity Bill Disconnection,9500,Paytm,P2M,txn4782@paytm
TXN416950787890,2024-06-29,18:56:26,Saturday,Vishing,Prize/Lottery Win,4050,PhonePe,P2M,txn6142@okhdfcbank
TXN488361073404,2024-08-30,23:36:31,Friday,OTP Sharing,Loan Offer,24750,PhonePe,P2M,pay7591@apl
TXN192382057852,2024-03-10,21:57:21,Sunday,Fake Collect Request,Loan Offer,5350,Paytm,P2M,pay1127@ibl
TXN573351269216,2024-06-23,09:46:37,Sunday,Vishing,Investment Scheme,13800,Paytm,P2M,mb5558@ibl
TXN978483659648,2023-09-17,08:17:31,Sunday,QR Code Swap,Refund Processing,34450,PhonePe,P2P,pay1109@paytm
TXN343925453125,2024-01-14,22:36:27,Sunday,SIM Swap,Customer Care Impersonation,8700,Google Pay,P2P,user6359@okicici
TXN839680167741,2024-07-08,16:32:43,Monday,SIM Swap,Prize/Lottery Win,15150,Google Pay,P2M,pay5346@paytm
TXN835694035930,2024-08-21,10:12:40,Wednesday,Fake UPI App,Prize/Lottery Win,97400,Google Pay,P2P,acct9031@axl
TXN553553093920,2024-08-05,11:14:07,Monday,Remote Access Scam,Impersonation of Known Person,34400,PhonePe,P2P,pay1474@ybl
TXN778468492207,2024-05-23,06:49:20,Thursday,Vishing,Prize/Lottery Win,3600,PhonePe,P2M,mb6401@okicici
TXN138713292846,2023-04-22,19:05:49,Saturday,OTP Sharing,Delivery Agent Scam,43100,Google Pay,Collect Request,user9627@okhdfcbank
TXN763751538563,2023-05-14,09:19:01,Sunday,Vishing,Delivery Agent Scam,14050,PhonePe,P2P,pay2565@axl
TXN700276227328,2024-06-09,14:01:19,Sunday,Vishing,Customer Care Impersonation,1050,PhonePe,P2P,user8409@oksbi
TXN552054000272,2023-11-24,13:30:36,Friday,Phishing,Customer Care Impersonation,2600,PhonePe,Collect Request,txn6535@okicici
TXN236357260643,2023-04-06,10:13:48,Thursday,Fake Collect Request,Investment Scheme,9100,Google Pay,P2M,pay4233@paytm
TXN777757924167,2024-08-20,09:51:33,Tuesday,QR Code Swap,Investment Scheme,18950,Amazon Pay,P2M,txn9509@ybl
TXN797289885247,2024-03-04,21:46:54,Monday,Social Engineering,Digital Arrest Threat,1950,PhonePe,P2P,mb4703@ibl
TXN462421995637,2024-01-17,19:55:27,Wednesday,Fake Collect Request,Electricity Bill Disconnection,4550,Google Pay,P2P,mb5542@paytm
TXN622724340244,2023-11-24,23:05:59,Friday,SIM Swap,Delivery Agent Scam,850,BHIM,P2P,txn6107@apl
TXN716830207316,2024-12-10,20:10:40,Tuesday,Fake UPI App,Investment Scheme,23750,PhonePe,P2P,pay7266@ibl
TXN794099125997,2024-06-26,12:12:00,Wednesday,Fake Collect Request,Electricity Bill Disconnection,3500,PhonePe,P2M,acct9033@okicici
